Bacillus anthracis	CP022044.2
Bacillus cereus	CP068135.1
Bacillus cereus	CP065885.1
Bacillus cereus	CP065884.1
Bacillus cereus	CP065883.1
Bacillus cereus	CP065882.1
Bacillus cereus	CP065881.1
Bacillus cereus	CP065880.1
Bacillus cereus	CP065879.1
Bacillus cereus	CP065650.1
Bacillus cereus	CP065649.1
Bacillus cereus	CP053931.1
Bacillus cereus	CP053930.1
Bacillus cereus	CP053997.1
Bacillus cereus	CP053996.1
Bacillus cereus	CP053995.1
Bacillus cereus	CP053994.1
Bacillus cereus	CP053993.1
Bacillus cereus	CP053992.1
Bacillus cereus	CP053991.1
Bacillus cereus	CP053990.1
Bacillus cereus	CP053954.1
Bacillus cereus	CP053953.1
Bacillus cereus	CP053952.1
Bacillus cereus	CP053968.1
Bacillus cereus	CP053967.1
Bacillus cereus	CP053966.1
Bacillus cereus	CP053965.1
Bacillus cereus	CP053964.1
Bacillus cereus	CP053963.1
Bacillus cereus	CP053962.1
Bacillus cereus	CP053961.1
Bacillus cereus	CP053951.1
Bacillus cereus	CP053950.1
Bacillus cereus	CP053949.1
Bacillus circulans	CM017505.1
Bacillus circulans	CM017506.1
Bacillus licheniformis	CP065648.1
Bacillus licheniformis	CP065647.1
Bacillus licheniformis	CP065646.1
Bacillus licheniformis	CP065645.1
Bacillus licheniformis	CP065644.1
Bacillus mycoides	CP065878.1
Bacillus mycoides	CP065877.1
Bacillus mycoides	CP065876.1
Bacillus mycoides	CP065875.1
Bacillus sp.	CP033796.1
Bacillus sp.	CP033795.1
Bacillus sp.	CP033794.1
Bacillus sp.	CP033793.1
Bacillus sp.	CP033792.1
Bacillus sp.	CP033791.1
Bacillus sp.	CP033790.1
Bacillus sp.	CP033789.1
Bacillus sp.	CP033788.1
Bacillus sp.	CP020437.2
Bacillus sp.	CP020436.2
Bacillus sp.	CP020434.2
Bacillus sp.	CP020435.1
Bacillus sp.	RKIY01000001.1
Bacillus sp.	RKIY01000002.1
Bacillus sp.	RKIY01000003.1
Bacillus sp.	RKIY01000004.1
Bacillus subtilis	CP041015.1
Bacillus thuringiensis	CP054568.1
Bacillus thuringiensis	CP054567.1
Bacillus thuringiensis	CP053938.1
Bacillus thuringiensis	CP053937.1
Bacillus thuringiensis	CP053936.1
Bacillus thuringiensis	CP053935.1
Bacillus thuringiensis	CP053934.1
Bacillus thuringiensis	CP053933.1
Bacillus thuringiensis	CP053932.1
Bacillus thuringiensis	CP053980.1
Bacillus thuringiensis	CP053979.1
Bacillus thuringiensis	CP053978.1
Bacillus thuringiensis	CP053977.1
Bacillus thuringiensis	CP053976.1
Bacillus thuringiensis	CP053975.1
Bacillus thuringiensis	CP053974.1
Bacillus thuringiensis	CP053973.1
Bacillus thuringiensis	CP053972.1
Bacillus thuringiensis	CP053971.1
Bacillus thuringiensis	CP053970.1
Bacillus thuringiensis	CP053969.1
Bacillus thuringiensis	CP053983.1
Bacillus thuringiensis	CP053982.1
Bacillus thuringiensis	CP053981.1
Bacillus tropicus	CP065744.1
Bacillus tropicus	CP065743.1
Bacillus tropicus	CP065742.1
Bacillus tropicus	CP065741.1
Bacillus tropicus	CP065740.1
Bacillus tropicus	CP065739.1
Bacillus tropicus	CP053956.1
Bacillus tropicus	CP053955.1
Bacteroides caccae	CP069532.1
Bacteroides caccae	CP068174.1
Bacteroides eggerthii	CP069794.1
Bacteroides fragilis	CP083624.1
Bacteroides fragilis	CP083623.1
Bacteroides fragilis	CP069564.1
Bacteroides fragilis	CP069563.1
Bacteroides fragilis	CP054004.1
Bacteroides fragilis	CP054003.1
Bacteroides fragilis	CP054002.1
Bacteroides fragilis	CP054001.1
Bacteroides nordii	CP082886.1
Bacteroides ovatus	CP083813.1
Bacteroides ovatus	CP069790.1
Bacteroides ovatus	CP046397.1
Bacteroides thetaiotaomicron	CP065873.1
Bacteroides thetaiotaomicron	CP065872.1
Bacteroides uniformis	CP065889.1
Bartonella bacilliformis	CP014012.2
Bartonella henselae	CP082885.1
Bartonella henselae	LRIJ02000001.1
Bartonella henselae	LRIJ02000002.1
Bifidobacterium breve	CP033841.1
Blautia massiliensis	CP085976.1
Bordetella bronchiseptica	CP050967.1
Bordetella bronchiseptica	CP044089.1
Bordetella bronchiseptica	CP014013.2
Bordetella bronchiseptica	RKIQ01000001.1
Bordetella bronchiseptica	RKIP01000001.1
Bordetella hinzii	CP044059.1
Bordetella holmesii	CP085973.1
Bordetella parapertussis	CP085972.1
Bordetella parapertussis	CP085971.1
Bordetella parapertussis	LRII02000001.1
Bordetella pertussis	CP085969.1
Bordetella pertussis	CP085970.1
Bordetella pertussis	CP070101.1
Bordetella pertussis	CP070102.1
Bordetella pertussis	CP070069.1
Bordetella pertussis	CP069843.1
Bordetella pertussis	CP069820.1
Bordetella pertussis	CP014153.2
Bordetella pertussis	NBTQ02000001.1
Bordetella pertussis	LRIH02000001.1
Bordetella pertussis	LRIH02000002.1
Bordetella pertussis	LRIH02000003.1
Bordetella pertussis	LRIH02000004.1
Borreliella burgdorferi	NBTP02000001.1
Borreliella burgdorferi	NBTP02000002.1
Borreliella burgdorferi	NBTP02000003.1
Borreliella burgdorferi	NBTP02000004.1
Borreliella burgdorferi	NBTP02000005.1
Borreliella burgdorferi	NBTP02000006.1
Borreliella burgdorferi	NBTP02000007.1
Borreliella burgdorferi	NBTP02000008.1
Borreliella burgdorferi	NBTP02000009.1
Borreliella burgdorferi	NBTP02000010.1
Borreliella burgdorferi	NBTP02000011.1
Borreliella burgdorferi	NBTP02000012.1
Brevibacterium casei	CP068173.1
Brevibacterium casei	CP065989.1
Brevibacterium casei	CP065682.1
Brevibacterium casei	CP065630.1
Brevibacterium casei	CP065629.1
Brevundimonas diminuta	CP066026.1
Brevundimonas vesicularis	CP022048.2
Brucella anthropi	CP066054.1
Brucella anthropi	CP066053.1
Brucella anthropi	CP066052.1
Brucella anthropi	CP066051.1
Brucella anthropi	CP066050.1
Brucella canis	CP023974.1
Brucella canis	CP023973.1
Budvicia aquatica	PDDX01000001.1
Bundibugyo ebolavirus	MK028856.1
Bundibugyo ebolavirus	MK028835.1
Bundibugyo ebolavirus	MK028834.1
Burkholderia ambifaria	CP066040.1
Burkholderia ambifaria	CP066039.1
Burkholderia ambifaria	CP066038.1
Burkholderia ambifaria	CP066037.1
Burkholderia ambifaria	PDDU01000001.1
Burkholderia ambifaria	PDDU01000002.1
Burkholderia ambifaria	PDDU01000003.1
Burkholderia ambifaria	PDDU01000004.1
Burkholderia cenocepacia	CP054820.1
Burkholderia cenocepacia	CP054819.1
Burkholderia cenocepacia	CP054818.1
Burkholderia cenocepacia	CP054817.1
Burkholderia cenocepacia	CP050980.1
Burkholderia cenocepacia	CP050979.1
Burkholderia cenocepacia	RKIV01000001.1
Burkholderia cenocepacia	RKIV01000002.1
Burkholderia cenocepacia	RKIV01000003.1
Burkholderia cenocepacia	RKIO01000001.1
Burkholderia cenocepacia	RKIO01000002.1
Burkholderia cenocepacia	RKIO01000003.1
Burkholderia cenocepacia	RKIO01000004.1
Burkholderia cenocepacia	RKIN01000001.1
Burkholderia cenocepacia	RKIN01000002.1
Burkholderia cenocepacia	RKIN01000003.1
Burkholderia cenocepacia	JTAZ02000001.1
Burkholderia cenocepacia	JTAZ02000002.1
Burkholderia cenocepacia	JTAZ02000003.1
Burkholderia cenocepacia	JTAZ02000004.1
Burkholderia cenocepacia	JTAZ02000005.1
Burkholderia cenocepacia	JTAZ02000006.1
Burkholderia cenocepacia	JTAZ02000007.1
Burkholderia cenocepacia	JTAZ02000008.1
Burkholderia cenocepacia	JTAZ02000009.1
Burkholderia cenocepacia	JTAZ02000010.1
Burkholderia cenocepacia	JTAZ02000011.1
Burkholderia cenocepacia	JTAZ02000012.1
Burkholderia cenocepacia	JTAZ02000013.1
Burkholderia cenocepacia	JTAZ02000014.1
Burkholderia cenocepacia	JTAZ02000015.1
Burkholderia cenocepacia	JTAZ02000016.1
Burkholderia cenocepacia	POVZ01000001.1
Burkholderia cenocepacia	POVZ01000002.1
Burkholderia cenocepacia	POVZ01000003.1
Burkholderia cenocepacia	POVZ01000004.1
Burkholderia cenocepacia	POVZ01000005.1
Burkholderia cenocepacia	POVZ01000006.1
Burkholderia cenocepacia	NBSO01000001.1
Burkholderia cenocepacia	NBSO01000002.1
Burkholderia cenocepacia	NBSO01000003.1
Burkholderia cenocepacia	NBSO01000004.1
Burkholderia cenocepacia	NBSO01000005.1
Burkholderia cenocepacia	NBSO01000006.1
Burkholderia cenocepacia	NBSO01000007.1
Burkholderia cenocepacia	NBSO01000008.1
Burkholderia cenocepacia	NBSO01000009.1
Burkholderia cepacia	CP022084.2
Burkholderia cepacia	CP022083.2
Burkholderia cepacia	CP022082.2
Burkholderia cepacia	CP022081.2
Burkholderia cepacia	CP023521.1
Burkholderia cepacia	CP023520.1
Burkholderia cepacia	CP023519.1
Burkholderia cepacia	CP023518.1
Burkholderia dolosa	CP086006.1
Burkholderia dolosa	CP086005.1
Burkholderia dolosa	CP086004.1
Burkholderia dolosa	CP085968.1
Burkholderia dolosa	CP085967.1
Burkholderia dolosa	CP085966.1
Burkholderia dolosa	CP082884.1
Burkholderia dolosa	CP082883.1
Burkholderia dolosa	CP082882.1
Burkholderia dolosa	CP069484.1
Burkholderia dolosa	CP069483.1
Burkholderia dolosa	CP069482.1
Burkholderia dolosa	CP033840.1
Burkholderia dolosa	CP033839.1
Burkholderia dolosa	CP033838.1
Burkholderia gladioli	CP065599.1
Burkholderia gladioli	CP065598.1
Burkholderia gladioli	CP065597.1
Burkholderia gladioli	CP065596.1
Burkholderia gladioli	CP065595.1
Burkholderia gladioli	CP022213.1
Burkholderia gladioli	CP022211.1
Burkholderia gladioli	CP022212.1
Burkholderia gladioli	CP022209.1
Burkholderia gladioli	CP023524.1
Burkholderia gladioli	CP023523.1
Burkholderia gladioli	CP023522.1
